"walletAddress","pnl","volume"
"0xd31A84c20bc430aD75E6a1903E7dDbee52211072","702.3891418114141","196061.83560092776"
"0xbEC5f1d8169bAadd44268c7B1B9489a1D68ea14D","447.57112276860835","64048.74682"
"0x1fb630a9680be9Dc2cCb1442C5Bc51Af6D5bE632","306.2995511391229","221698.52403461165"
"0xD189006023860A73F6Ac86edBd522E9Ba597001d","188.41894145853826","77404.29509"
"0xc457FF8D72166A851aEbc8824c4ddf517a55F336","149.66638340139343","111732.27313"
"0x25cf03A658E3cef33C02De014a0828F907C26ab1","146.17298284944548","41794.611494318444"
"0x0c2Fa51EA4Fa759a90D8456CAB2EeC31CcCEB8e2","94.56717214681468","6179.6348827"
"0x6970c8BAc3b9Cd30454c940637E30F3c92Dedce9","90.20738370520024","3414.84121"
"0x6A3dF76BB2b27F1830B65b13Df2546dE74651E11","87.75176409775621","38075.66311"
"0x6CB29D386f82966191f2C9f53737b5ef76f38993","68.57901700937737","129288.46302"
"0x1b6639b495A203Bd7384463620121C2e151c37A1","67.2647347765186","2636.88642"
"0xe73D5D5F8d33979f097EAc553513904E6F5fdbdA","60.3338635087881","25855.86354"
"0x0d3b3041B77d6fb8F876C4ff8419543d7F2a032F","54.667183569521306","126168.175636"
"0x86E13430f78AFD1B777ea374a5770398DC6d1e7a","54.244965806091734","9590.735653"
"0xeac62F39f063B5EBf240754B028c7169c0450c93","50.7064403586648","60931.46046"
"0x85242A05647d9f264c6BE379dA69fAFaB76A8791","46.083480982991226","14965.22335"
"0x911D3A600009BfE676Dae6E0DcAfb76b37c027aA","41.57510163629984","621130.2645223069"
"0x6e44c0efeCA886b546bc2aa85118094b83B87297","40.111719267688144","6376.30422"
"0x14Ad9bcc4A82cC3AcEdA78548657E1b5D1aeBe38","39.548968934813736","16967.9697"
"0xE53E246b652820b83E9E5c4c3BC96a91ed327093","38.817074725225986","25940.28801"
"0xAf2FE7E49C38EF8D6F12F4E8b1e2941947Ca2F77","30.01293265100118","24802.93860466184"
"0xFb5cEbaf21E33f4F780d78977E1eF772fcA3e556","26.65359319996084","795.6418780543476"
"0xb9Bcf23260EEe22c9FCaBBCd6F28F8291a0693D1","25.086534148472534","4006.12288"
"0x9bbEb47eCD672Fa5CCc7186f91A1845CF2af799d","24.983621412383503","1491.23764"
"0x69F191a6FB9d82B817600E5E0f08F2D67E7e5570","23.84300881839899","2589.79797"
"0x7448940bEe5E86B0d038b29C306b97AB241317B9","23.29359933220125","35349.4"
"0xC0CED65D9D6c72d3B2cDCbaD26671d816fd1Cbea","20.3513270714558","4941.98842"
"0x75C332353238e0197E566788E1c36D22AD0c2C0f","20.109683447386384","55580.01715"
"0xAba711bB8F0f5E3500fCf8049DE9F5f04c7F8dB7","19.99500490344921","6651.56493"
"0x3177208695ADB9AF4bA4Cd1C6045F4bFc826DEC7","19.46545923059882","9813.488632"
"0xb11dCbaCC82200721EccEeefb4D80233355F6Fe0","18.5444004185651","46019.48613"
"0x6Bbd6e302605c811B19392E2C5AdCeD03913d413","16.674588657054283","2022.3266415"
"0xeB8F07925d028F47056CAca97B28AE8ecDcb6dCc","14.6280040922249","54133.03464634055"
"0x43a7BF49c1dA48c12424ccde98b52a174A9E1860","14.595732759997162","35091.00545"
"0xe16EB767E92c7048bC720e45E5782BE508fef38E","14.290276342629992","2269.18797"
"0x450C71e4D32d54Bb44FC7571e95f7CFd8f67437D","13.643919149595291","6217.69014"
"0x20516c76848f88a1255c782CF911eFacC8E9f8D0","13.622707534653719","1424.47163"
"0xE6eAF29C78590eec67B421d2136655458f5A8675","12.20235731646424","647.4189126552184"
"0xEE55583cE4F64791B30451156F1141fcEA0aaE04","12.140048165489143","1691.98796"
"0x68716756735593DFFd7311b8CF8cbACB64A8b341","12.024078241647643","8274.53001"
"0x1E31A57dB8D328C83133c719b30c7EB5Cb239121","11.69315005731261","3133.892613538"
"0xfD04Fb7f56B86d3597e63a982cc6bdb5840bC032","11.457138543724081","702.631496042"
"0x23e3Fd6cdEe3E17499ff4e44eE12B583f206c2B4","11.409560092805128","2035.57875"
"0x4E1C9F7309d1d3bF4ABb08756469d41bFa00577A","11.03096555831196","18290.705891"
"0xDFf8534f3eE03A94ac7d155a5BEeF97Feb2d0182","10.749308479071727","2994.24789"
"0xfde1E18181AeB9d75220398a38Cfc2558be9E349","10.606106668345626","2010.08781"
"0xc5BBD077A8Bce8a0E0BA13053139fC1b1Adb8b55","10.102212370777234","1976.3238"
"0x8ad3350479ED822ca64a20a37B85b8797b6D0aA8","9.331070044650824","11507.04208"
"0x7e0BfC59d7131DFCa74493991C7477d3232Fd992","9.30122115625848","6169.364128"
"0x8760a66e367Ad5D2788487c2d61A5Ae2Cfbd52D1","8.326361687129966","3977.74599"
"0xfB84137deEa40Ab28326482Ba24A4ED89704BCb3","8.280439302157156","1568.296084"
"0x207Ec81B0772be70D29B3407ED28C641024f25d8","8.251977927076258","850.43231"
"0x92e020242B872eC38b6C69657E97B00c53e34b56","7.149002688582418","1522.27356"
"0x409C0d8E2156f2AEc4e3F42680Ffd515d58B067a","6.512232697","1241.608245"
"0x5F6C3A79A7Ef856Ee2a26817E22DDf716d499A88","6.0831273870130325","9455.018864"
"0x99Ad1Fd81B166F4424947B888f3677d01f390945","5.954789540388447","2447.946296"
"0xF9AE57cE1625070533A501F01A9b5F4deFA94B76","5.644068133674316","224005.76436"
"0x316181a1DFA5fB02A8839cdd9f19496a3D4fA52a","4.896717858311004","4165.49089"
"0x4199125762B8fD8F2368403e28b6414ccB54B25f","4.624102945859987","1067.4176010909637"
"0x6D5e2B8B4076BeE4068Bfb179CD682D849D9A916","4.5077473687219785","305.14904"
"0x55e9e240714E5EbEC3A3322DE60fC61c58E897aD","4.18745119905482","1719.09632"
"0x6B98Bec15469C7a8b737800C68d645c8c2BfeE33","4.081576151078908","309.78081"
"0xd3C6899fB19D455B830F2755C002c613ec2E50e4","3.80058211637744","6326.27399"
"0x6e9E580e788EbD8f6D8900D6709505728D4d7B20","3.0466604893491143","366.08079"
"0x3Eb94726E178d4B5f71b0b415A2d828E9c48632c","2.876333092243031","229.743"
"0x71446bf33bd2f7341eeca8d5A91EEe9bEd49E5E4","2.825039545639215","1857.30995"
"0xE64C42bA73849FC90fD2E49B60FeFDC88A805117","2.8165697013498443","3062.74756"
"0xf4B635a578F34B0f4d22ec7923E1A9F15A964e1B","2.812433708985","994.16236"
"0xC2d203Ab66F51288D3901f585424D82d63006Da9","2.7805919505970977","3170.1255"
"0x4ab7A43BfA4E7fdfb5cE8878Bf1bd84DD4Ee3938","2.7131023096725","4165.8325"
"0xDB90cC5E11FDf050D054db1967864677C7540768","2.6963226588625","312.93962"
"0xC586720672B75c5937cd53b5c40E2Fc836f73fBF","2.679873656762306","7367.851434"
"0x8832978B4cF61Edc9915cd54ebFC96D2D398279A","2.4216474593015334","1626.22966"
"0xA7ce2544388E654349b80aeA47D311E83e12C733","2.3922081765723266","532.99716"
